name,neighbourhood_cleansed,room_type,price,review_scores_rating,price_log
FLAT MACDONOUGH,Bedford-Stuyvesant,Entire home/apt,125,100,4.828
Huge Private  Floor at The Waverly,Clinton Hill,Private room,135,100,4.905
"Modern Greenpoint, Brooklyn Apt",Greenpoint,Entire home/apt,250,100,5.521
"Sun-drenched, artsy modernist 1 BDRM duplex",Williamsburg,Entire home/apt,199,100,5.293
Fully Furnished Beautiful 1 Bedroom,East Village,Entire home/apt,160,100,5.075
"Sunny, Cobble Hill Apartment",Cobble Hill,Entire home/apt,140,100,4.942
Fully Furnished Basement Apartment,Flushing,Private room,140,100,4.942
FLAT MACDONOUGH GARDEN,Bedford-Stuyvesant,Entire home/apt,115,100,4.745
Light filled Williamsburg Apartment,Williamsburg,Entire home/apt,160,100,5.075
Retreat in Williamsburg,Williamsburg,Entire home/apt,195,100,5.273
Cozy BR in Wiliamsburg 3 Bedroom,Williamsburg,Private room,80,100,4.382
Sunny Room in Old Historical Brooklyn Townhouse,Fort Greene,Private room,44,100,3.784
Lg Rm in Historic Prospect Heights,Prospect Heights,Private room,85,100,4.443
Classic Artist Loft Williamsburg,Williamsburg,Private room,125,100,4.828
Great location. Spacious on PROSPECT PARK,Prospect Heights,Entire home/apt,115,100,4.745
Private Bdrm/Bathrm. New! Elevator!,East Harlem,Private room,69,100,4.234
"Sunny, clean 1 bdrm in W. Village",West Village,Entire home/apt,225,100,5.416
Great location in Williamsburg,Williamsburg,Entire home/apt,125,100,4.828
2BR Flex in Hudson Yards near Penn Station,Chelsea,Entire home/apt,150,100,5.011
Light and Airy Upper East Side 1 BDR apartment,Upper East Side,Entire home/apt,219,100,5.389
Luxury Brownstone in Boerum Hill,Boerum Hill,Entire home/apt,475,100,6.163
CENTRAL PARK LOFT all for YOU,Upper East Side,Entire home/apt,99,100,4.595
Indie-Chic Share In Williamsburg,Williamsburg,Private room,69,100,4.234
1 br in a 2 br apt (Midtown West),Hell's Kitchen,Private room,119,100,4.779
Hudson view & near Central Park elegant apartment,Upper West Side,Entire home/apt,450,100,6.109
"A room w/ a Manhattan view, 12/23/20 longer stay",Sunnyside,Private room,79,100,4.369
"Private, Large & Sunny 1BR w/W&D",Bedford-Stuyvesant,Entire home/apt,135,100,4.905
Luxurious Condo in DUBMO with View,DUMBO,Private room,250,100,5.521
Charming & Cozy midtown loft any WEEK ENDS  !!!,Upper East Side,Entire home/apt,250,100,5.521
* Spacious GARDEN Park Slope Duplex* 6 people max,Gowanus,Entire home/apt,250,100,5.521
Convenient cozy cheap apt Manhattan,Harlem,Entire home/apt,80,100,4.382
Parlor Room In Victorian Townhouse,Clinton Hill,Private room,70,100,4.248
House On Henry (2nd FLR Suite),Carroll Gardens,Entire home/apt,165,100,5.106
New York room with a view,St. George,Private room,70,100,4.248
"Apartment in Tribeca, NYC Panoramic VIEWS~",Tribeca,Entire home/apt,275,100,5.617
Sunny cozy room in Brklyn townhouse,Bushwick,Private room,50,100,3.912
Room with a View,Highbridge,Private room,45,100,3.807
Williamsburg Old School Light x Airy x Rustic Loft,Williamsburg,Entire home/apt,150,100,5.011
West Inn 2 - East Village,East Village,Private room,125,100,4.828
BROOKLYN VICTORIAN STYLE SUITE.....,Fort Greene,Private room,110,100,4.700
Lovely West Village Studio on tree lined street,West Village,Entire home/apt,170,100,5.136
Large Artist Designer Loft in NoHo,NoHo,Entire home/apt,385,100,5.953
ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Harlem,Entire home/apt,165,100,5.106
Greenwich Village Stylish Apartment,West Village,Entire home/apt,150,100,5.011
Clean and Cozy Harlem Apartment,Harlem,Entire home/apt,100,100,4.605
"Fort Greene, Brooklyn: Center Bedroom",Fort Greene,Private room,65,100,4.174
Beautiful Queens Brownstone! - 5BR,Ridgewood,Entire home/apt,350,100,5.858
Room in Beautiful Townhouse.,Port Morris,Private room,55,100,4.007
Couldn't Be Closer To Columbia Uni,Morningside Heights,Private room,99,100,4.595
Bright Spacious Luxury Condo,Williamsburg,Entire home/apt,200,100,5.298
Park Slope haven 15 mins from Soho,Park Slope,Entire home/apt,150,100,5.011
SAFE  AND BEAUTIFUL ACCOMODATION,Bedford-Stuyvesant,Private room,90,100,4.500
Large Room in private Brownstone in Park Slope,Prospect Heights,Private room,120,100,4.787
"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Upper East Side,Private room,75,100,4.317
"LARGE, COMFY 1BDR W/CHARACTER!!!",Bedford-Stuyvesant,Entire home/apt,175,100,5.165
