name,neighbourhood_cleansed,room_type,price,review_scores_rating
Eixample luxury design terrasse,l'Antiga Esquerra de l'Eixample,Entire home/apt,142,96
"Av. Diagonal, 594 (4.2) Luxury Apartment -Praedium",l'Antiga Esquerra de l'Eixample,Entire home/apt,250,
Eixample experience,l'Antiga Esquerra de l'Eixample,Private room,35,99
GUAYABA,l'Antiga Esquerra de l'Eixample,Entire home/apt,160,
Ref2300 Arago Executive Suites 5-C,l'Antiga Esquerra de l'Eixample,Entire home/apt,600,
Lovely flat in Barcelona's heart!!,l'Antiga Esquerra de l'Eixample,Entire home/apt,500,
Small and charming,l'Antiga Esquerra de l'Eixample,Entire home/apt,62,93
Elegant Penthouse with terrace,l'Antiga Esquerra de l'Eixample,Entire home/apt,200,90
Apartamento Barcelona,l'Antiga Esquerra de l'Eixample,Entire home/apt,200,
Appartment near Paseo de Gracia,l'Antiga Esquerra de l'Eixample,Entire home/apt,115,95
A PERFECT DOUBLE ROOM  BCN CENTER,l'Antiga Esquerra de l'Eixample,Private room,24,87
Room near plaza CataluÕ±a,l'Antiga Esquerra de l'Eixample,Private room,28,90
Private room in the center,l'Antiga Esquerra de l'Eixample,Private room,45,93
Villarroel Left Side Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,60,100
"Habitaciin doble, muebles nuevos Eixample",l'Antiga Esquerra de l'Eixample,Private room,35,80
Apartamento elegante en Barcelona,l'Antiga Esquerra de l'Eixample,Private room,90,
Apartamento Romantico,l'Antiga Esquerra de l'Eixample,Entire home/apt,120,97
"Double w bathroom, balcony, 2 bikes",l'Antiga Esquerra de l'Eixample,Private room,40,98
Habitaciin Doble/Double Room,l'Antiga Esquerra de l'Eixample,Private room,60,
New! Casanova P2 - Eixample Deluxe - 4BR Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,130,80
ROOM IN THE HEART OF THE EIXAMPLE,l'Antiga Esquerra de l'Eixample,Private room,60,
Apartment in the center of the city,l'Antiga Esquerra de l'Eixample,Entire home/apt,93,70
MAGIC CITY CENTER HUTB-009743   ,l'Antiga Esquerra de l'Eixample,Entire home/apt,250,91
Luxury apt with SPECIAL OFFER,l'Antiga Esquerra de l'Eixample,Entire home/apt,150,93
Lovely Penthouse with Terrace and Views!,l'Antiga Esquerra de l'Eixample,Entire home/apt,129,
ONE BEDROOM DIAGONAL,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,100
COZY DOBLE ROOM WITH TOILET-  Barcelona center,l'Antiga Esquerra de l'Eixample,Private room,33,
Bright 4-bedroom Apartment in Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,196,80
Super Central Art Gallery 2BR apt,l'Antiga Esquerra de l'Eixample,Entire home/apt,99,83
Beautiful room in Modernist House,l'Antiga Esquerra de l'Eixample,Private room,50,98
**** 1BD flat in Exclusive street ,l'Antiga Esquerra de l'Eixample,Entire home/apt,99,80
2 HAB PRIVADAS EN EL CORAZON,l'Antiga Esquerra de l'Eixample,Private room,35,
Gaudi Residence 2,l'Antiga Esquerra de l'Eixample,Entire home/apt,120,67
New center Penthouse with terrace,l'Antiga Esquerra de l'Eixample,Entire home/apt,130,89
Take a Break-fast private bathroom,l'Antiga Esquerra de l'Eixample,Private room,45,92
"Charming room with a balcony, top location, centre",l'Antiga Esquerra de l'Eixample,Private room,16,
Centric eixample Aribau,l'Antiga Esquerra de l'Eixample,Entire home/apt,88,90
FREE BREAKFAST! 2-Ppl Private Room,l'Antiga Esquerra de l'Eixample,Private room,22,85
Double room with private bathroom,l'Antiga Esquerra de l'Eixample,Private room,35,93
"Bonito, tranquilo y cÕ©ntrico piso.",l'Antiga Esquerra de l'Eixample,Entire home/apt,100,95
STUNNING SUNNY PENTHOUSE & TERRACE,l'Antiga Esquerra de l'Eixample,Entire home/apt,155,97
Lovely Design Penthouse Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,99,96
visit bcn and relax in a warm place,l'Antiga Esquerra de l'Eixample,Private room,75,
EIXAMPLE CENTER spacious apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,107,96
Room with private Bath,l'Antiga Esquerra de l'Eixample,Private room,38,80
Live in the Best Street in the city,l'Antiga Esquerra de l'Eixample,Entire home/apt,90,94
Big Room in Center. Wifi + Terrace.,l'Antiga Esquerra de l'Eixample,Private room,42,84
Cozy room in the heart of Barcelona,l'Antiga Esquerra de l'Eixample,Private room,90,
New Great Large Centric Flat,l'Antiga Esquerra de l'Eixample,Entire home/apt,450,91
"Big, beautiful and quiet near Rambla CataluÕ±a",l'Antiga Esquerra de l'Eixample,Private room,40,100
Lujoso apartamento para 8 personas     HUTB-008105,l'Antiga Esquerra de l'Eixample,Entire home/apt,295,80
Private Room next to Barcelona City Center!!!,l'Antiga Esquerra de l'Eixample,Private room,36,100
"""Beautiful Apartment in the center of Barcelona""",l'Antiga Esquerra de l'Eixample,Entire home/apt,100,100
Cool and Artistic apartment close to everything,l'Antiga Esquerra de l'Eixample,Private room,28,
"CENTRAL,SUNNY IN EIXAMPLE BOUTIQUES",l'Antiga Esquerra de l'Eixample,Entire home/apt,80,65
Cozy apartment near the city center,l'Antiga Esquerra de l'Eixample,Entire home/apt,80,95
"Big  double room, with balcony",l'Antiga Esquerra de l'Eixample,Private room,65,95
Wohnung/Flat in eixample,l'Antiga Esquerra de l'Eixample,Private room,30,
"Double, bright and comfortable room",l'Antiga Esquerra de l'Eixample,Private room,30,92
CozyRoom!few steps away casa Battli,l'Antiga Esquerra de l'Eixample,Private room,45,100
Cute room Barcelona centre !!,l'Antiga Esquerra de l'Eixample,Private room,30,93
Feel at home with a young family,l'Antiga Esquerra de l'Eixample,Private room,60,98
Funky Room in City Centre,l'Antiga Esquerra de l'Eixample,Private room,24,80
Modernist and Luxury apartment in the center BCN!,l'Antiga Esquerra de l'Eixample,Entire home/apt,250,92
***STUDIO CITY CENTRE BARCELONA***,l'Antiga Esquerra de l'Eixample,Entire home/apt,50,74
"Unique indoor room, top location, Barcelona centre",l'Antiga Esquerra de l'Eixample,Private room,15,
Typical charming flat in the heart of barcelona,l'Antiga Esquerra de l'Eixample,Entire home/apt,120,80
Eixample Center DELUXE LOFT,l'Antiga Esquerra de l'Eixample,Entire home/apt,155,60
2301 AB Arago Executive Suites 5-D,l'Antiga Esquerra de l'Eixample,Entire home/apt,600,
Fantastic loft in the heart of Barcelona center.,l'Antiga Esquerra de l'Eixample,Entire home/apt,40,74
Cozy Apartment in the heart of Barcelona BEST AREA,l'Antiga Esquerra de l'Eixample,Private room,45,100
VINTAGE-Plaza Universidad (5bedrooms/2Bathrooms),l'Antiga Esquerra de l'Eixample,Entire home/apt,235,100
Eixample Industrial Style,l'Antiga Esquerra de l'Eixample,Entire home/apt,100,98
Central-spacious-4 bedrooms-4 baths-daily cleaning,l'Antiga Esquerra de l'Eixample,Entire home/apt,250,
Private Room in heart of Barcelona,l'Antiga Esquerra de l'Eixample,Private room,46,94
Habitacion cama doble muy comoda,l'Antiga Esquerra de l'Eixample,Private room,45,91
Cozy balcony in l'Eixample,l'Antiga Esquerra de l'Eixample,Private room,35,
Habitaciin cimoda cerca del centro de Barcelona,l'Antiga Esquerra de l'Eixample,Private room,22,100
"habitacion,pleno centro barcelona.",l'Antiga Esquerra de l'Eixample,Private room,27,82
Lovely room in Barcelona center,l'Antiga Esquerra de l'Eixample,Private room,28,92
DOUBLE ROOM UNIVERSITAT BARCELONA,l'Antiga Esquerra de l'Eixample,Private room,35,89
Unique and sunny apartment in central BCN!,l'Antiga Esquerra de l'Eixample,Private room,80,93
Superior 1 bedroom Apartment - DECO,l'Antiga Esquerra de l'Eixample,Entire home/apt,150,100
dip MODERN 1 BED FLAT NEXT OLD TOWN,l'Antiga Esquerra de l'Eixample,Entire home/apt,90,20
Cosy apartment in eixample,l'Antiga Esquerra de l'Eixample,Shared room,29,100
VB Simplex B&B,l'Antiga Esquerra de l'Eixample,Private room,45,75
Beautiful sunny room in Eixample,l'Antiga Esquerra de l'Eixample,Private room,39,
Double Room in BCN city center!,l'Antiga Esquerra de l'Eixample,Private room,29,96
Super location 1bedroom flat with terrace,l'Antiga Esquerra de l'Eixample,Entire home/apt,60,
Luxury & Elegant Apartment Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,94
CUTE & CONVENIENT,l'Antiga Esquerra de l'Eixample,Entire home/apt,68,93
"Habitaciin cÕ©ntrica doble, exterior con balcin.",l'Antiga Esquerra de l'Eixample,Private room,40,
New apartment center BCN ,l'Antiga Esquerra de l'Eixample,Entire home/apt,250,92
"Executive cataluÕ±a 6 , 5 bedrooms",l'Antiga Esquerra de l'Eixample,Entire home/apt,300,89
Double Room in a cozy flat w/ shared Living Room,l'Antiga Esquerra de l'Eixample,Private room,38,
"Av. Diagonal, 594 (5.2) Luxury Apartment -Praedium",l'Antiga Esquerra de l'Eixample,Entire home/apt,250,
Habitaciin en un piso enorme!,l'Antiga Esquerra de l'Eixample,Private room,30,
Double room in the centre of Barcelona,l'Antiga Esquerra de l'Eixample,Private room,2500,83
Executive CataluÕ±a 3.  3 Bedrooms,l'Antiga Esquerra de l'Eixample,Entire home/apt,99,86
Executive CataluÕ±a 2 - 3 Bedrooms,l'Antiga Esquerra de l'Eixample,Entire home/apt,100,84
"DOUBLE ROOM IN EIXAMPLE, CITY CENTER",l'Antiga Esquerra de l'Eixample,Private room,50,90
Catalan golden dreams,l'Antiga Esquerra de l'Eixample,Entire home/apt,180,84
Nice and well located apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,
Se alquilan 2 habitaciones en atico,l'Antiga Esquerra de l'Eixample,Entire home/apt,80,
Stunning eixample 2 bedroom up to 6,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,80
"Central & elegant, 4 bedroom 4 bathroom, balconies",l'Antiga Esquerra de l'Eixample,Entire home/apt,199,
Ref2295 AB Arago Executive Suites 2-D,l'Antiga Esquerra de l'Eixample,Entire home/apt,600,
2p BIG ROOM  with BALCONY  - Bcn,l'Antiga Esquerra de l'Eixample,Private room,31,100
"""habitacion privada en pleno centro de barcelona 2",l'Antiga Esquerra de l'Eixample,Private room,48,90
Nice and big Apart. Francesc Macia ,l'Antiga Esquerra de l'Eixample,Entire home/apt,170,95
Fantastic Attic 2 bedrooms amazing views,l'Antiga Esquerra de l'Eixample,Entire home/apt,118,
Ref2297 AB Arago Executive Suites 3-D,l'Antiga Esquerra de l'Eixample,Entire home/apt,600,
Habitaciin privada tipo suite,l'Antiga Esquerra de l'Eixample,Private room,100,
Habitaciin doble con vistas en l'Eixample Esquerre,l'Antiga Esquerra de l'Eixample,Private room,55,
Gran Via centro Barcelona PequeÕ±o A,l'Antiga Esquerra de l'Eixample,Entire home/apt,146,97
_çÜ_Üó_â_ôÜè __ ÜÅ_µÜo_âÜ__µ _¥_çÜoÜÅ_µ______ÜÊ,l'Antiga Esquerra de l'Eixample,Entire home/apt,70,91
BEAUTIFUL APT. NEXT TO P. DE GRACIA,l'Antiga Esquerra de l'Eixample,Entire home/apt,100,95
Room for 2 with 2 single beds.,l'Antiga Esquerra de l'Eixample,Private room,35,95
Double room in central Barcelona (20/4 to 8/6) 350,l'Antiga Esquerra de l'Eixample,Private room,24,
SUPER HABITACIÕ_N + baÕ±o privado,l'Antiga Esquerra de l'Eixample,Private room,49,94
Beautiful Rooftop Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,68,87
Cool Flat on City Center (Eixample),l'Antiga Esquerra de l'Eixample,Entire home/apt,300,100
City center apartment in Barcelona,l'Antiga Esquerra de l'Eixample,Entire home/apt,105,92
Habitaciin piso bonito y centrico A,l'Antiga Esquerra de l'Eixample,Private room,28,88
Piso ideal para familias,l'Antiga Esquerra de l'Eixample,Entire home/apt,250,90
3-BEDROOM NEAR GRACIA WITH TERRACE,l'Antiga Esquerra de l'Eixample,Entire home/apt,285,100
pb3 WITH TERRACE QUIET & HAPPY FLAT,l'Antiga Esquerra de l'Eixample,Entire home/apt,100,80
BARCELONA CENTER double room. Eixample GAY AREA,l'Antiga Esquerra de l'Eixample,Private room,19,
FREE BREAKFAST! 3-Beds Private Room,l'Antiga Esquerra de l'Eixample,Private room,60,80
"Hola! Lovely Flat, Amazing location",l'Antiga Esquerra de l'Eixample,Private room,35,96
Luxurious Double Room!,l'Antiga Esquerra de l'Eixample,Private room,30,84
Luxury 3 bedrooms and 3 bathrooms,l'Antiga Esquerra de l'Eixample,Entire home/apt,390,
#ZOOROOMSART Gallery Guest House,l'Antiga Esquerra de l'Eixample,Private room,100,
Modern apartment in the center 3 BR,l'Antiga Esquerra de l'Eixample,Entire home/apt,245,100
Miri 11 - Eixample Deluxe - 3 BR Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,96
Miri 13 - Eixample Deluxe - 3 BR Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,96
CENTRAL & COZY APARTMENT BRAND NEW,l'Antiga Esquerra de l'Eixample,Entire home/apt,95,94
3 bedroom apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,310,
Enjoy & Vive Barcelona,l'Antiga Esquerra de l'Eixample,Entire home/apt,110,92
Eixample Loft,l'Antiga Esquerra de l'Eixample,Entire home/apt,112,88
4 BR. City Center HUTB- 009550,l'Antiga Esquerra de l'Eixample,Entire home/apt,165,97
GREAT SINGLE ROOM IN BARCELONA,l'Antiga Esquerra de l'Eixample,Private room,25,100
Habitaciin privada,l'Antiga Esquerra de l'Eixample,Private room,35,
Lovely Triple Room City Center,l'Antiga Esquerra de l'Eixample,Private room,60,91
City view apartment with terrace,l'Antiga Esquerra de l'Eixample,Entire home/apt,80,85
Habitaciin de matrimonio cimoda y acogedora,l'Antiga Esquerra de l'Eixample,Private room,30,
Habitaciin tipo loft con terraza .,l'Antiga Esquerra de l'Eixample,Private room,39,
"Chic central, 4 bedroom, balconies, daily cleaning",l'Antiga Esquerra de l'Eixample,Entire home/apt,199,
Spacious Low-Priced 7 pax apt,l'Antiga Esquerra de l'Eixample,Entire home/apt,233,90
Modern Classicism,l'Antiga Esquerra de l'Eixample,Entire home/apt,100,
good vibes 2,l'Antiga Esquerra de l'Eixample,Private room,41,93
CASANOVA CENTER (CLIMATIZED POOL-SAUNA-SOLARIUM),l'Antiga Esquerra de l'Eixample,Entire home/apt,67,92
Large double bed room,l'Antiga Esquerra de l'Eixample,Private room,50,97
SPECTACULAR Five Senses Appartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,94,89
VintageCharm 2r+2b,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,98
Charmy & Comfortable Bcn Apartment ,l'Antiga Esquerra de l'Eixample,Entire home/apt,80,93
Principal B&Bcn - Beautiful room with balcony 1,l'Antiga Esquerra de l'Eixample,Private room,125,80
"Luxurious 2bedroom flat, Eixample.",l'Antiga Esquerra de l'Eixample,Entire home/apt,90,93
L'Antiga Esquerra de l'Eixample (adults only),l'Antiga Esquerra de l'Eixample,Entire home/apt,110,96
Eixample art apartment,l'Antiga Esquerra de l'Eixample,Private room,35,100
"ROOM + BATHROOM, BARCELONA CENTER",l'Antiga Esquerra de l'Eixample,Private room,55,97
DobRoom+Bath 15' Plaza Catalunya,l'Antiga Esquerra de l'Eixample,Private room,28,100
Beautiful room Modernist House I,l'Antiga Esquerra de l'Eixample,Private room,50,94
Cozy apartment in L'Eixample,l'Antiga Esquerra de l'Eixample,Private room,43,100
AP. ESTIL. MODERNISTA/ HAB. PRIVADA,l'Antiga Esquerra de l'Eixample,Private room,80,95
Nice room in Barcelona Center,l'Antiga Esquerra de l'Eixample,Private room,45,100
Cozy and sunny 3 br in Barcelona,l'Antiga Esquerra de l'Eixample,Entire home/apt,107,95
Royal Casanova 4BDR Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,450,93
Home Sweet Home,l'Antiga Esquerra de l'Eixample,Entire home/apt,99,95
NEW Central Barcelona City Center 6 pax. apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,100,91
MAGNIFICO APARTAMENTO CENTRO P. MAX. 5 HUESPEDES.,l'Antiga Esquerra de l'Eixample,Entire home/apt,235,
Loft Muntaner Plaza Universidad,l'Antiga Esquerra de l'Eixample,Entire home/apt,111,84
New Luxury modern apartment center,l'Antiga Esquerra de l'Eixample,Entire home/apt,90,84
RAMBLA  PARIS APARTMENT 4 bedroom,l'Antiga Esquerra de l'Eixample,Entire home/apt,105,98
"Eixample, Valeri 2",l'Antiga Esquerra de l'Eixample,Entire home/apt,100,91
"Central, single room with semi private bathroom.",l'Antiga Esquerra de l'Eixample,Private room,29,95
Wondrous Casanova,l'Antiga Esquerra de l'Eixample,Entire home/apt,154,78
At 10 min walk of Paseo de Gracia!!! - (1-2 pax),l'Antiga Esquerra de l'Eixample,Private room,111,
At 10 min walk of Paseo de Gracia!! (1-2 pax),l'Antiga Esquerra de l'Eixample,Private room,106,
room in city center,l'Antiga Esquerra de l'Eixample,Private room,26,87
Prime location. Barcelona Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,98,97
BCN Luxury,l'Antiga Esquerra de l'Eixample,Entire home/apt,195,100
"Quality, Spacious 2 Bedroom Apartment",l'Antiga Esquerra de l'Eixample,Entire home/apt,75,92
Pedrera_3,l'Antiga Esquerra de l'Eixample,Entire home/apt,110,100
Private Room with Balcony - 2 Beds,l'Antiga Esquerra de l'Eixample,Private room,35,96
Cozy Apartment Casanova - Exaimple,l'Antiga Esquerra de l'Eixample,Entire home/apt,120,92
Glittering Urgell,l'Antiga Esquerra de l'Eixample,Entire home/apt,90,84
Sunny centrally 2 bedroom apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,88
Principal B&Bcn - Beautiful room with balcony 9,l'Antiga Esquerra de l'Eixample,Private room,190,90
At 10 min. walk of Paseo de Gracia!,l'Antiga Esquerra de l'Eixample,Entire home/apt,139,
Cozy apartment in the city center,l'Antiga Esquerra de l'Eixample,Entire home/apt,90,93
At 10 min walk of Paseo de Gracia!! (1-4 pax),l'Antiga Esquerra de l'Eixample,Entire home/apt,109,
Confortable  habitaciin en el centro de Barcelona,l'Antiga Esquerra de l'Eixample,Private room,28,
Precioso acogedor nearPaseo Gracia Rambla CataluÕ±a,l'Antiga Esquerra de l'Eixample,Private room,45,100
Private double bed room + bathroom,l'Antiga Esquerra de l'Eixample,Private room,35,
Charming and very center,l'Antiga Esquerra de l'Eixample,Entire home/apt,130,
Nice and couzy room in center,l'Antiga Esquerra de l'Eixample,Private room,30,93
ENTIRE ROOM IN HEART OF CITY 4 PERS,l'Antiga Esquerra de l'Eixample,Shared room,76,78
LUCUMA,l'Antiga Esquerra de l'Eixample,Entire home/apt,327,100
PEDRERA_2,l'Antiga Esquerra de l'Eixample,Entire home/apt,110,100
Private room for a Single Traveler,l'Antiga Esquerra de l'Eixample,Private room,55,93
casa capacidad 6 personas,l'Antiga Esquerra de l'Eixample,Entire home/apt,350,
DOUBLE ROOM IN BARCELONA CENTRE!!,l'Antiga Esquerra de l'Eixample,Private room,40,90
COZY ROOM WITH PRIVATE BATHROOM,l'Antiga Esquerra de l'Eixample,Private room,49,89
Quiet pretty feminine room,l'Antiga Esquerra de l'Eixample,Private room,32,95
"BARCELONA HAB CON BAÕ¥O PRIVADO, AA, WIFI, ...",l'Antiga Esquerra de l'Eixample,Private room,35,
BIG SHINY ROOM CITY-CENTER,l'Antiga Esquerra de l'Eixample,Private room,54,93
Amazing stylish center apartment   ,l'Antiga Esquerra de l'Eixample,Entire home/apt,130,100
Principal B&Bcn - Single room 7,l'Antiga Esquerra de l'Eixample,Private room,160,
"Nice, sunny, quiet and centric flat!",l'Antiga Esquerra de l'Eixample,Entire home/apt,50,
Casanova 11 - Deluxe 3 bedroom apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,94
Casanova 42 - Eixample Deluxe 3 BR apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,88
Suite DoubleBedroom(Balcony & Bath),l'Antiga Esquerra de l'Eixample,Private room,86,85
Rooftop apartment with terrace,l'Antiga Esquerra de l'Eixample,Entire home/apt,120,94
Private room,l'Antiga Esquerra de l'Eixample,Private room,22,100
DOUBLE NICE ROOM!,l'Antiga Esquerra de l'Eixample,Private room,45,100
Large Central Luxury Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,210,95
"Central, double/twin, private bath",l'Antiga Esquerra de l'Eixample,Private room,39,95
Bright and lovely double room with balcony,l'Antiga Esquerra de l'Eixample,Private room,35,95
Two bedroom top floor apartment BCN,l'Antiga Esquerra de l'Eixample,Entire home/apt,150,100
New Comfort apartment in the center,l'Antiga Esquerra de l'Eixample,Entire home/apt,90,95
Casa Cosi - Casanova,l'Antiga Esquerra de l'Eixample,Entire home/apt,105,86
* 107. Gold Small Apartment *,l'Antiga Esquerra de l'Eixample,Entire home/apt,100,
1207- SMART CITY CENTER APARTMENT 2,l'Antiga Esquerra de l'Eixample,Entire home/apt,150,100
Single 01 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Private room,30,92
Miri 21 - Eixample Deluxe - 3 BR Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,220,96
ENTIRE ROOM IN HEART OF CITY 8 PERS,l'Antiga Esquerra de l'Eixample,Shared room,125,88
Nice Double Bedroom in Barcelona central,l'Antiga Esquerra de l'Eixample,Private room,35,
Best location in Barcelona (Paseo de Gracia),l'Antiga Esquerra de l'Eixample,Entire home/apt,150,89
FANTASTIC APARTMENT | IDEAL FAMILY,l'Antiga Esquerra de l'Eixample,Entire home/apt,100,94
"Linda habitaciin,  Buena Ubicaciin.",l'Antiga Esquerra de l'Eixample,Private room,80,
ENTIRE ROOM IN HEART OF CITY 6 PERS,l'Antiga Esquerra de l'Eixample,Shared room,108,80
Cozy room with private balcony,l'Antiga Esquerra de l'Eixample,Private room,40,80
Habitaciin con baÕ±o individual,l'Antiga Esquerra de l'Eixample,Private room,28,81
Big Central for family and group,l'Antiga Esquerra de l'Eixample,Entire home/apt,170,79
Bright and modern 3-BR apartment in Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,147,
Dreamy&Sunny Penthouse Duplex 5min to La Pedrera,l'Antiga Esquerra de l'Eixample,Entire home/apt,200,98
BARCELONA HAB LUJO CON BAÕ¥O PRIVADO AA WIFI,l'Antiga Esquerra de l'Eixample,Private room,35,
PRIVATE ROOM FOR 2 PERSONS IN HEART OF BCN CITY,l'Antiga Esquerra de l'Eixample,Private room,36,60
Double Room in an Amazing location !,l'Antiga Esquerra de l'Eixample,Private room,45,
Nice double room in Barcelona,l'Antiga Esquerra de l'Eixample,Private room,15,96
PRIVATE ROOM FOR TWO / THREE GUESTS,l'Antiga Esquerra de l'Eixample,Private room,70,85
Doubleroom+private bathroom in BCN!,l'Antiga Esquerra de l'Eixample,Private room,40,93
Double 02 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Private room,40,91
Double 01 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Private room,45,93
Flat in the center of Barcelona,l'Antiga Esquerra de l'Eixample,Entire home/apt,120,89
Centric apartment in BCN,l'Antiga Esquerra de l'Eixample,Entire home/apt,95,94
dip MODERN 3 BED FLAT NEXT OLD TOWN,l'Antiga Esquerra de l'Eixample,Entire home/apt,162,
Habitaciin individual.,l'Antiga Esquerra de l'Eixample,Private room,18,90
Central apartment Casanova street with terrace,l'Antiga Esquerra de l'Eixample,Entire home/apt,88,90
Soleada habitacion doble BCN centro,l'Antiga Esquerra de l'Eixample,Private room,38,92
Flat with huge terrace in center,l'Antiga Esquerra de l'Eixample,Entire home/apt,125,67
Barcelona Aribau NEW near Gracia,l'Antiga Esquerra de l'Eixample,Entire home/apt,90,85
You've found a great place in BCN!,l'Antiga Esquerra de l'Eixample,Entire home/apt,96,90
2 Bedroom Apart with terrace - DECO,l'Antiga Esquerra de l'Eixample,Entire home/apt,190,80
Beautiful 2 bedroom with a balcony,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,88
Wow! Best location for up to 6,l'Antiga Esquerra de l'Eixample,Entire home/apt,120,86
BED IN DORMITORY CITYCENTER 2P MIXT,l'Antiga Esquerra de l'Eixample,Shared room,20,98
Modern-ist Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,70,89
Piso grande en centro de Barcelona,l'Antiga Esquerra de l'Eixample,Entire home/apt,57,
Apt Granandos 4 in the center,l'Antiga Esquerra de l'Eixample,Entire home/apt,100,92
"Cozy double room in San Antoni, Heart of Barcelona",l'Antiga Esquerra de l'Eixample,Private room,39,90
Appartment in the city center,l'Antiga Esquerra de l'Eixample,Shared room,85,
Angla Boutique apartment  - WiFi,l'Antiga Esquerra de l'Eixample,Entire home/apt,40,84
Free ride & sleep. Camper Van,l'Antiga Esquerra de l'Eixample,Entire home/apt,66,
Modern flat up to 3 in Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,90,100
FREE BREAKFAST! 3-Ppl Private Room,l'Antiga Esquerra de l'Eixample,Private room,36,73
Cozy room in a centric big apt.,l'Antiga Esquerra de l'Eixample,Private room,35,100
Beautiful room in Eixample - Goudi's masterpiece,l'Antiga Esquerra de l'Eixample,Private room,24,90
Balmes Central fully renewed apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,70,80
Bright&Modernist in the city center.,l'Antiga Esquerra de l'Eixample,Entire home/apt,127,100
Eixample Terrace,l'Antiga Esquerra de l'Eixample,Entire home/apt,145,
Casa Cosi - L'Atico,l'Antiga Esquerra de l'Eixample,Entire home/apt,65,93
BEAUTIFUL CITY CENTER,l'Antiga Esquerra de l'Eixample,Entire home/apt,130,93
Aribau - in love with the city center(HUTB-012620),l'Antiga Esquerra de l'Eixample,Entire home/apt,113,91
Big room with balcony in Barcelona,l'Antiga Esquerra de l'Eixample,Private room,40,100
Autentic Eixample Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,250,88
Luxury Central Penthouse 2 terraces,l'Antiga Esquerra de l'Eixample,Entire home/apt,320,96
MINI APARTMENT WITH BALCONY,l'Antiga Esquerra de l'Eixample,Private room,75,95
MAMEY,l'Antiga Esquerra de l'Eixample,Entire home/apt,160,
Charming Aptment Center 2bed+2bath,l'Antiga Esquerra de l'Eixample,Entire home/apt,149,97
Modernist Eixmple Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,120,86
Modernist Eixample room,l'Antiga Esquerra de l'Eixample,Private room,40,84
Bedroom in centric charming flat in Barcelona,l'Antiga Esquerra de l'Eixample,Private room,30,80
Õçtico con terraza privada,l'Antiga Esquerra de l'Eixample,Private room,70,
Beautiful studio in the citycenter,l'Antiga Esquerra de l'Eixample,Entire home/apt,85,89
Appartment in the city center,l'Antiga Esquerra de l'Eixample,Private room,39,100
Modernist Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,140,
Near Rambla Catalunya con terrace,l'Antiga Esquerra de l'Eixample,Entire home/apt,130,87
"Bonito apartamento, cÕ©ntrico y bien comunicado",l'Antiga Esquerra de l'Eixample,Entire home/apt,75,100
Golden Modernist Apartment,l'Antiga Esquerra de l'Eixample,Entire home/apt,120,89
"Sunny room, yogi apt heart of BCN!",l'Antiga Esquerra de l'Eixample,Private room,45,84
79. New Aribau,l'Antiga Esquerra de l'Eixample,Entire home/apt,106,60
Ref2287 AB Roma Executive Suites 4-B,l'Antiga Esquerra de l'Eixample,Entire home/apt,300,
Nice spacious (30m) exterior room!,l'Antiga Esquerra de l'Eixample,Private room,26,84
Nuevo espacioso apartamento en BCN,l'Antiga Esquerra de l'Eixample,Entire home/apt,320,87
Comfortable double bed-room,l'Antiga Esquerra de l'Eixample,Private room,60,93
Spacious double room & balcony in the heart of BCN,l'Antiga Esquerra de l'Eixample,Private room,62,94
